Age,HorseId,季初評分,avg_名次,avg_頭馬距離,avg_速度_mps,avg_獨贏賠率,races_counted,horse_win_rate,horse_win_place_rate
4,HK_2024_K372,49.0,12.666666666666666,10.833333333333334,16.891803968255267,99.0,3.0,0.0,0.0
4,HK_2024_K276,47.0,9.333333333333334,6.083333333333333,17.109545787742444,24.33333333333333,3.0,0.0,0.0
4,HK_2024_K220,47.0,13.0,15.0,16.443294404795928,134.66666666666666,3.0,0.0,0.0
4,HK_2024_K025,47.0,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2024_K149,47.0,12.0,10.833333333333334,16.80282945601434,134.66666666666666,3.0,0.0,0.0
4,HK_2024_K302,47.0,9.666666666666666,6.583333333333333,17.10249722976556,33.333333333333336,3.0,0.0,0.0
4,HK_2024_K117,47.0,8.5,5.125,17.015606861917714,106.5,2.0,0.0,0.0
4,HK_2024_K239,47.0,7.0,3.875,17.146492385752207,52.3,4.0,0.0,0.0
4,HK_2024_K029,49.0,11.0,6.75,17.23507477575788,117.0,2.0,0.0,0.0
4,HK_2023_J299,47.0,5.666666666666667,3.9166666666666665,17.21406561174322,19.75,6.0,0.0,0.0833333333333333
4,HK_2024_K134,46.0,9.5,6.625,16.84775785870645,6.0,2.0,0.0,0.0
4,HK_2023_J463,46.0,5.8,3.3,16.939547458445197,13.96,5.0,0.0,0.2
4,HK_2024_K084,46.0,6.571428571428571,3.75,16.46545651676494,17.47142857142857,7.0,0.0,0.0833333333333333
4,HK_2024_K198,46.0,6.833333333333333,6.916666666666667,16.75199815135637,39.5,6.0,0.0,0.0833333333333333
4,HK_2024_K305,46.0,6.833333333333333,3.8333333333333335,17.052210409792824,19.216666666666665,6.0,0.0,0.1666666666666666
4,HK_2024_K003,45.0,5.2,3.5,16.852735127832194,33.88,5.0,0.0,0.2
4,HK_2024_K114,45.0,4.0,2.2,17.005707666694118,8.239999999999998,5.0,0.0,0.375
4,HK_2024_K049,47.0,8.2,4.6,17.12352123870761,93.6,5.0,0.0,0.2
4,HK_2023_J294,45.0,8.75,6.5,17.12367566169037,155.0,4.0,0.0,0.0
4,HK_2023_J491,44.0,10.5,8.625,17.205985801404722,218.0,2.0,0.0,0.0
4,HK_2024_K103,44.0,8.666666666666666,5.833333333333333,16.97887794651777,52.333333333333336,3.0,0.0,0.2
4,HK_2023_J545,44.0,8.0,3.6666666666666665,17.324197438319093,87.35000000000001,6.0,0.0,0.1428571428571428
4,HK_2024_K110,44.0,6.428571428571429,5.25,16.843671624542583,16.757142857142856,7.0,0.0769230769230769,0.0769230769230769
4,HK_2024_K022,44.0,10.0,8.25,16.95028997151707,37.0,3.0,0.0,0.0
4,HK_2023_J449,44.0,9.0,6.583333333333333,16.892141094983717,72.33333333333333,3.0,0.0,0.0
4,HK_2024_K112,44.0,5.6,3.65,17.001124433965096,8.34,5.0,0.0,0.2857142857142857
4,HK_2024_K143,44.0,10.25,6.625,16.923159837860847,111.25,4.0,0.0,0.0
4,HK_2023_J368,44.0,6.0,2.125,17.03316407973748,13.0,4.0,0.0,0.1111111111111111
4,HK_2023_J503,44.0,9.0,5.75,17.123287671232877,9.9,1.0,0.0,0.0
4,HK_2024_K051,44.0,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2023_J509,43.0,10.75,15.0,16.26957353647995,27.5,4.0,0.0,0.0909090909090909
4,HK_2024_K151,43.0,6.6,4.15,16.73988584453483,38.44,5.0,0.0,0.1666666666666666
4,HK_2024_K241,43.0,10.8,12.2,16.79964044001738,113.6,5.0,0.0,0.0
4,HK_2024_K135,45.0,8.5,5.125,17.0381315344632,52.66666666666666,6.0,0.0,0.0
4,HK_2024_K244,43.0,12.25,9.1875,16.96585520657287,109.25,4.0,0.0,0.0
4,HK_2023_J371,43.0,6.0,6.6875,16.45393887688205,12.283333333333331,6.0,0.0833333333333333,0.1666666666666666
4,HK_2023_J019,43.0,8.4,6.5,17.19080062241766,44.0,5.0,0.1666666666666666,0.1666666666666666
4,HK_2024_K211,45.0,8.2,4.55,16.84862334427745,47.4,5.0,0.0,0.0
4,HK_2024_K272,42.0,7.5,5.0625,17.12155191784739,32.0,4.0,0.0,0.0
4,HK_2023_J459,42.0,9.0,5.5,17.225846261578425,103.5,2.0,0.0,0.0
4,HK_2023_J496,42.0,9.666666666666666,6.333333333333333,17.073289985409463,30.666666666666668,3.0,0.0,0.1428571428571428
4,HK_2023_J521,42.0,8.2,9.7,16.774129672524765,45.2,5.0,0.0,0.0
4,HK_2024_K189,42.0,6.666666666666667,4.0,17.2043646868305,39.53333333333333,6.0,0.0,0.1666666666666666
4,HK_2023_J326,42.0,8.0,8.5,16.210867414077015,77.66666666666667,3.0,0.0,0.0
4,HK_2024_K111,42.0,8.5,3.5,17.056586959253302,60.75,4.0,0.0,0.0
4,HK_2024_K306,36.0,6.428571428571429,3.892857142857143,16.708984362710137,68.62857142857142,7.0,0.1111111111111111,0.1111111111111111
4,HK_2023_J508,43.0,11.0,5.0,16.225784246238568,20.0,1.0,0.0,0.0
4,HK_2024_K271,43.0,8.285714285714286,4.892857142857143,17.09798487093158,73.85714285714286,7.0,0.0,0.0
4,HK_2023_J425,41.0,11.2,8.7,16.666936471814225,203.6,5.0,0.0,0.0
4,HK_2023_J308,41.0,6.0,3.35,17.10701179819748,9.7,5.0,0.0,0.2727272727272727
4,HK_2023_J345,40.0,7.0,5.35,17.016815934193634,38.71666666666667,6.0,0.0,0.2727272727272727
4,HK_2023_J397,40.0,7.5,6.5625,16.997410856227052,44.225,4.0,0.0,0.0
4,HK_2024_K138,40.0,10.0,8.75,16.48643983952859,119.5,2.0,0.0,0.0
4,HK_2024_K106,40.0,8.5,6.6875,16.968733791636144,17.25,4.0,0.0,0.0
4,HK_2023_J406,40.0,6.6,4.95,16.94773642711532,10.68,5.0,0.0,0.25
4,HK_2024_K099,40.0,7.8,5.6,17.057159448352305,69.4,5.0,0.0,0.1428571428571428
4,HK_2024_K069,40.0,12.0,10.0,16.731734523145565,81.0,1.0,0.0,0.0
4,HK_2024_K024,40.0,11.5,9.25,16.933809779896308,101.5,2.0,0.0,0.0
4,HK_2023_J510,39.0,8.8,5.15,17.09330071327612,27.380000000000003,5.0,0.0,0.0
4,HK_2023_J191,39.0,10.0,6.05,16.977208661883253,94.8,5.0,0.0,0.0
4,HK_2023_J319,38.0,8.5,5.375,16.56454782649072,109.5,4.0,0.0,0.0
4,HK_2023_J452,38.0,5.2,4.05,16.462879886635996,40.52,5.0,0.0,0.3
4,HK_2023_J193,38.0,6.0,5.607142857142857,16.434883315200327,9.285714285714286,7.0,0.0,0.1764705882352941
4,HK_2023_J369,37.0,4.25,1.9375,17.06308332359204,28.775,4.0,0.0,0.2
4,HK_2024_K119,37.0,12.0,9.25,17.057059127123424,80.33333333333333,3.0,0.0,0.0
4,HK_2023_J269,37.0,9.0,5.6875,16.87298414634232,50.75,4.0,0.0,0.0
4,HK_2024_K073,38.0,6.0,3.5,17.08674313975657,8.65,2.0,0.0,0.0
4,HK_2024_K052,38.0,6.6,3.6,17.537598828216893,21.8,5.0,0.0,0.1111111111111111
4,HK_2024_K213,35.0,11.285714285714286,8.75,16.864018989987247,137.14285714285714,7.0,0.0,0.0
4,HK_2023_J076,34.0,10.0,10.6875,16.833736092379414,63.75,4.0,0.0666666666666666,0.3333333333333333
4,HK_2023_J344,33.0,10.0,5.875,17.054005481728293,118.5,2.0,0.0,0.0
4,HK_2023_J264,35.0,10.75,7.75,16.69040703419827,112.5,4.0,0.0,0.1666666666666666
4,HK_2023_J551,32.0,11.25,15.0,16.551929675464933,43.0,4.0,0.0,0.0
4,HK_2023_J382,27.0,9.0,7.5,16.79872345106336,104.16666666666669,6.0,0.0,0.0
4,HK_2023_J211,26.0,9.2,12.05,16.087053608286595,81.6,5.0,0.0,0.0
4,HK_2023_J255,25.0,8.25,5.4375,16.575687639139588,17.825,4.0,0.0,0.0
4,HK_2025_L072,,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2025_L082,,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2025_L116,,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2025_L117,,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
4,HK_2025_L118,,6.571428571428571,4.083333333333333,17.035775127768314,20.0,0.0,0.0,0.0
